"data";"valor"
"01/09/2013";"1871,4"
"01/10/2013";"2354,5"
"01/11/2013";"1621,4"
"01/12/2013";"2270,7"
"01/01/2014";"1809,3"
"01/02/2014";"1656,0"
"01/03/2014";"2043,7"
"01/04/2014";"2057,9"
"01/05/2014";"1871,1"
"01/06/2014";"2064,3"
"01/07/2014";"2570,6"
"01/08/2014";"1541,7"
"01/09/2014";"2437,8"
"01/10/2014";"2273,2"
"01/11/2014";"1841,9"
"01/12/2014";"3015,7"
"01/01/2015";"1707,6"
"01/02/2015";"1798,1"
"01/03/2015";"2646,2"
"01/04/2015";"2086,9"
"01/05/2015";"2247,7"
"01/06/2015";"2094,4"
"01/07/2015";"1939,6"
"01/08/2015";"1627,4"
"01/09/2015";"1944,3"
"01/10/2015";"2227,5"
"01/11/2015";"1823,4"
"01/12/2015";"2411,9"
"01/01/2016";"1823,6"
"01/02/2016";"1656,1"
"01/03/2016";"1899,0"
"01/04/2016";"1938,3"
"01/05/2016";"1838,2"
"01/06/2016";"2010,3"
"01/07/2016";"1628,6"
"01/08/2016";"1481,3"
"01/09/2016";"1748,5"
"01/10/2016";"1767,1"
"01/11/2016";"1583,8"
"01/12/2016";"2150,7"
"01/01/2017";"1790,8"
"01/02/2017";"1428,1"
"01/03/2017";"1707,8"
"01/04/2017";"1512,9"
"01/05/2017";"1469,9"
"01/06/2017";"1850,8"
"01/07/2017";"1204,3"
"01/08/2017";"1199,8"
"01/09/2017";"1340,1"
"01/10/2017";"1389,4"
"01/11/2017";"1607,6"
"01/12/2017";"1869,0"
"01/01/2018";"1252,1"
"01/02/2018";"1152,6"
"01/03/2018";"1352,2"
"01/04/2018";"1369,3"
"01/05/2018";"1242,5"
"01/06/2018";"1320,7"
"01/07/2018";"1142,3"
"01/08/2018";"1358,7"
"01/09/2018";"1176,3"
"01/10/2018";"1386,0"
"01/11/2018";"1458,0"
"01/12/2018";"1655,5"
"01/01/2019";"1048,8"
"01/02/2019";"1057,8"
"01/03/2019";"1226,8"
"01/04/2019";"1409,8"
"01/05/2019";"1391,5"
"01/06/2019";"1272,5"
"01/07/2019";"1615,5"
"01/08/2019";"901,1"
"01/09/2019";"993,4"
"01/10/2019";"1540,1"
"01/11/2019";"759,1"
"01/12/2019";"1456,7"
"01/01/2020";"918,9"
"01/02/2020";"1290,9"
"01/03/2020";"1460,2"
"01/04/2020";"972,0"
"01/05/2020";"1224,6"
"01/06/2020";"604,4"
"01/07/2020";"1187,3"
"01/08/2020";"924,8"
"01/09/2020";"892,9"
"01/10/2020";"848,3"
"01/11/2020";"755,9"
"01/12/2020";"943,3"
"01/01/2021";"791,9"
"01/02/2021";"516,3"
"01/03/2021";"478,4"
"01/04/2021";"527,1"
"01/05/2021";"617,8"
"01/06/2021";"565,7"
"01/07/2021";"685,4"
"01/08/2021";"618,9"
"01/09/2021";"617,6"
"01/10/2021";"608,7"
"01/11/2021";"567,6"
"01/12/2021";"661,4"
"01/01/2022";"734,2"
"01/02/2022";"678,5"
"01/03/2022";"739,6"
"01/04/2022";"701,1"
"01/05/2022";"711,1"
"01/06/2022";"931,2"
"01/07/2022";"756,6"
"01/08/2022";"769,8"
"01/09/2022";"742,0"
"01/10/2022";"722,9"
"01/11/2022";"677,7"
"01/12/2022";"871,5"
"01/01/2023";"828,2"
"01/02/2023";"711,9"
"01/03/2023";"906,3"
